Log1p Range,Count
1.10-2.06,7
2.06-3.03,6
3.03-4.00,33
4.00-4.96,40
4.96-5.93,53
5.93-6.89,27
6.89-7.86,27
7.86-8.82,28
8.82-9.79,26
9.79-10.75,6
